Institution,Besuche insgesamt,zahlende Besucherinnen und Besucher,nicht zahlende Besucherinnen und Besucher,Besucherinnen,Besucher,Kinder und Jugendliche,Besuche außerhalb Berlins bei Gastspielen oder Wanderaus- stellungen,Kategorie,Jahr
"Jagdschloss Grunewald
(Schloss; Jagdzeugmagazin)",19766,-,-,-,-,-,-,Preußische Schlösser & Gärten,2013
"Schloss
 Schönhausen",13151,-,-,-,-,-,-,Preußische Schlösser & Gärten,2013
Stiftung Berliner Mauer,850000,Freier Eintritt,,450500,399500,-,-,Gedenkstätten,2013
Trägerverein Haus der Wannseekonferenz,104086,,,53647,50439,-,-,Gedenkstätten,2013
Stiftung Gedenkstätte Berlin-Hohenschönhausen,378314,,,189157,189157,-,-,Gedenkstätten,2013
Gedenkstätte Deutscher Widerstand,224000,,,-,-,-,-,Gedenkstätten,2013
Stiftung Topographie des Terrors,1195.581,,,597790,597791,-,-,Gedenkstätten,2013
Dokumentationszentrum NS-Zwangsarbeit Berlin-Schöneweide,8666,,,4333,4333,-,-,Gedenkstätten,2013
Kunst-Werke Berlin - Institute for Contemporary Art,42639,-,-,23025,19614,-,-,Bildende Kunst,2013
Künstlerhaus Bethanien (KHB),22754,Freier Eintritt,,11451,11303,-,-,Bildende Kunst,2013
Haus am Waldsee,25236,16465,9762,11048,14188,3432,-,Bildende Kunst,2013
Stiftung Zentral- und Landesbibliothek Berlin,1317.473,Kein Eintritt - Nutzerentgelt,,579688,737785,-,-,Archive/Bibliotheken ,2013
Landesarchiv Berlin,13445,Kein Eintritt - Nutzerentgelt,,5647,7798,-,-,Archive/Bibliotheken ,2013
Theater Thikwà,3221,2829,329,-,-,-,17,  Basisförderung,2013
Monster Truck,-,-,-,-,-,-,-,  Basisförderung,2013
SheShePop,1208,1044,-,-,-,-,-,  Basisförderung,2013
Zeitgenössische Oper Berlin,696,394,10000,-,-,-,-,  Basisförderung,2013
kaleidoskop,1920,1558,362,-,-,-,-,  Basisförderung,2013
Theater auf der Zitadelle,2778,2642,136,-,-,-,-,  Basisförderung,2013
Schlossplatztheater,4849,3380,1469,-,-,-,-,  Basisförderung,2013
Theater o.N.,8063,7179,884,-,-,-,-,  Basisförderung,2013
andcompany & Co,714,634,-,-,-,-,-,  Basisförderung,2013
Fliegendes Theater,-,-,-,-,-,-,-,  Basisförderung,2013
ATZE Musiktheater,-,-,-,-,-,-,-,  Basisförderung,2013
Das Weite Theater,6209,5721,488,-,-,-,-,  Basisförderung,2013
Das Helmi,629,482,147,-,-,-,-,  Basisförderung,2013
Lubricat,300,219,-,-,-,-,-,  Basisförderung,2013
Gob Squad,1296,1140,-,-,-,-,-,  Basisförderung,2013
English Theatre Berlin,9959,6217,3742,-,-,-,-,  Basisförderung,2013
aufBruch,4045,3840,205,-,-,-,-,  Basisförderung,2013
Showcase beat Le Mot,3262,-,3262,-,-,-,-,  Basisförderung,2013
Hans Wurst Nachfahren,29000,27500,1500,-,-,-,8,  Basisförderung,2013
Novoflot,2871,1009,1862,-,-,-,-,  Basisförderung,2013
isabelle Schad,331,258,-,-,-,-,-,  Basisförderung,2013
"Kroesinger, Hans-Werner",728,653,75,-,-,-,6,  Basisförderung,2013
make up productions/A. Baehr,46,31,15,-,-,-,-,  Basisförderung,2013
MS Schrittmacher/M. Stiefermann,-,-,-,-,-,-,-,  Basisförderung,2013
Martin Nachbar,-,-,-,-,-,-,-,  Basisförderung,2013
Laurent Chétouane,1117,927,-,-,-,-,-,  Basisförderung,2013
WilhelmGroener,210,170,40,-,-,-,-,  Basisförderung,2013
Christoph Winkler,915,762,-,-,-,-,-,  Basisförderung,2013
Christina Ciupke,273,100,-,-,-,-,-,  Basisförderung,2013
Tanzcompanie Rubato,565,512,-,-,-,-,-,  Basisförderung,2013
cie toula limnaios,3500,3420,-,-,-,-,-,  Basisförderung,2013
Tanztage Berlin,2044,1798,246,1124,920,,,  Basisförderung,2013
Ballhaus Ost,7935,6242,1693,-,-,-,-, Spielstättenförderung,2013
Theaterkapelle,5850,-,-,-,-,-,-, Spielstättenförderung,2013
Heimathafen Neukölln,12655,11794,861,-,-,-,-, Spielstättenförderung,2013
Tanzfabrik Berlin e.V.,5528,3435,,-,-,-,-, Spielstättenförderung,2013
Dock 11,11373,6453,5149,-,-,-,-, Spielstättenförderung,2013
Laborgras,1317,551,766,-,-,-,-, Spielstättenförderung,2013
ada Studio & Bühne,982,772,210,-,-,-,-, Spielstättenförderung,2013
Brotfabrik,-,-,-,-,-,-,-, Spielstättenförderung,2013
Deutsches Theater / Kammerspiele,180769,145867,7006,93253,59620,-,27896,Große Sprechbühnen,2014
Volksbühne,170205,143074,7262,81181,69155,-,19869,Große Sprechbühnen,2014
Maxim Gorki Theater,101035,91334,7309,49322,49321,-,2392,Große Sprechbühnen,2014
Berliner Ensemble,231151,187038,8458,97748,97748,-,35655,Große Sprechbühnen,2014
"Hebbel am Ufer (HAU 1, 2, 3)",59830,45463,14367,32308,27522,-,-,Große Sprechbühnen,2014
Schaubühne am Lehniner Platz,183721,120391,4227,62309,62309,-,59103,Große Sprechbühnen,2014
Renaissance Theater – Neue Theater Betriebs-GmbH,87236,81222,6014,52342,34894,-,-,Große Sprechbühnen,2014
Theater an der Parkaue,85587,78040,5385,43000,40425,-,2162,Kinder- und Jugendtheater,2014
Grips Theater,91233,84247,3342,43794,43795,-,3644,Kinder- und Jugendtheater,2014
Theater Strahl,19114,17730,1384,8601,10513,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Canstanza Macras / Dorkypark GmbH,10161,6271,546,3408,3409,-,3344,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Nico and the Navigators,7421,2409,538,1473,1474,-,4474,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Rimini Protokoll (Rimini Apparat GbR),39556,1101,119,685,535,-,38336,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Theater im Palais - Theaterverein am Festungsgraben,11072,9945,1127,6643,4429,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Sophiensæle,24785,20928,3857,13633,11152,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Theaterdiscounter,3867,3246,621,2166,1701,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Theater '89,6356,1884,233,1058,1059,-,4239,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Vaganten Bühne Gemeinnützige,13636,12760,619,6690,6689,-,257,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Neuköllner Oper,19666,17371,2295,10781,8885,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Kleines Theater am Südwestkorso GmbH,9395,9162,233,4895,4500,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Ballhaus Naunynstraße (KulturSPRÜNGE e.V.),21820,11470,8950,10210,10210,-,1400,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
cie. toula limnaios,23266,2964,278,1751,1491,-,20024,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
prime time theater,43714,41705,2009,26228,17486,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Friedrichstadt-Palast,472532,467229,5303,293679,178853,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Sasha Waltz & Guests,63087,19585,1307,12535,8357,-,42195,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Jüdisches Theater,-,-,-,-,-,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen ,2014
Bühnen am Kürfürstendamm,420475,200256,19219,131685,87790,-,201000,Boulevardtheater,2014
Schlosspark Theater,107997,95463,8302,51883,51882,-,4232,Boulevardtheater,2014
Deutsche Oper Berlin,209163,196737,12426,119315,89848,-,-,Stiftung Oper in Berlin,2014
Staatsoper Unter den Linden,188282,176994,11288,103555,84727,-,-,Stiftung Oper in Berlin,2014
Komische Oper Berlin,217122,206661,10461,130273,86849,-,-,Stiftung Oper in Berlin,2014
Staatsballett,100072,91854,8218,70050,30022,-,-,Stiftung Oper in Berlin,2014
Stiftung Berliner Philharmoniker,274765,264284,10481,134635,140130,-,-,Orchester & Chöre,2014
Konzerthaus Berlin / Schauspielhaus am Gendarmenmarkt,155834,139014,9820,87812,61022,-,7000,Orchester & Chöre,2014
Rundfunk-Orchester und -Chöre GmbH,214716,137894,13006,82995,67905,-,63816,Orchester & Chöre,2014
Literarisches Colloquium Berlin (LCB),9643,-,-,6362,3181,100,4585,Literatur,2014
Literaturhaus Berlin,10935,-,-,6130,4615,190,740,Literatur,2014
Literaturforum im Brecht-Haus (Gesellschaft für Sinn und Form e.V.),6703,-,-,4022,2681,-,-,Literatur,2014
literaturWERKstatt berlin (Literaturbrücke Berlin e.V.),18731,-,-,9344,8287,1100,2207,Literatur,2014
LesArt - Berliner Zentrum für Kinder- und Jugendliteratur,8693,-,-,1380,890,6423,487,Literatur,2014
ConSense - Ges. zur Förderung von Kultur mbH (Kulturbrauerei),68584,66822,1762,32920,35664,-,-,Kulturzentren / Kino,2014
RambaZamba e.V.,9728,4610,1018,3659,1969,-,4100,Kulturzentren / Kino,2014
ufa-fabrik e.V.,35541,27589,7951,21324,14216,-,-,Kulturzentren / Kino,2014
Neue Babylon Berlin GmbH,150764,63838,86926,78397,72367,-,-,Kulturzentren / Kino,2014
Stiftung Berlinische Galerie,101640,65735,35905,55902,45738,5555,-,Berliner Landesmuseen,2014
Stiftung Bröhan-Museum,62142,26577,35565,34280,27862,7409,-,Berliner Landesmuseen,2014
Brücke Museum,30183,20730,9453,18110,12073,4456,-,Berliner Landesmuseen,2014
Stiftung Deutsches Technikmuseum Berlin,638196,488254,149942,220457,417739,311437,-,Berliner Landesmuseen,2014
Bauhaus-Archiv,115067,92492,22575,62136,52931,39482,-,Berliner Landesmuseen,2014
Stiftung Stadtmuseum Berlin,210077,118236,91841,117643,92434,32201,-,Berliner Landesmuseen,2014
Stiftung Domäne Dahlem,46655,26865,19790,27993,18662,26180,-,Berliner Landesmuseen,2014
Jugend im Museum,15344,11482,3862,8222,7122,14800,-,Berliner Landesmuseen,2014
Schwules Museum,18634,12289,6345,7613,11021,-,-,Berliner Landesmuseen,2014
Werkbundarchiv - Museum der Dinge,12322,10215,2107,6777,5545,-,-,Berliner Landesmuseen,2014
Georg Kolbe Museum,28867,23900,4967,19405,9462,3995,-,Berliner Landesmuseen,2014
Käthe-Kollwitz-Museum,23498,22990,508,14099,9399,4500,-,Berliner Landesmuseen,2014
Altes Museum mit Antikensammlung - Museumsinsel,206000,144200,29665,-,-,32135,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
"Alte Nationalgalerie -
Museumsinsel",339000,264420,31112,-,-,43468,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
"Bodemuseum mit Skulpturensammlung,
Museum für Byzantinische Kunst
und Münzkabinett - Museumsinsel",226000,183060,31012,-,-,11928,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
"Neues Museum mit Ägyptisches Museum, Museum für Vor- und
Frühgeschichte - Musuemsinsel ",633000,436770,61773,-,-,134457,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
Museum für Vor- und Frühgeschichte im Martin Gropius-Bau,180000,133200,1653,-,-,44355,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
"Pergamonmuseum mit Antikensammlung, Museum für Islamische Kunst, Vorderasiatischem Museum, Münzkabinett - Musuemsinsel",995000,726350,118505,-,-,150145,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
Friedrichswerdersche Kirche - Museumsinsel,-,-,-,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
Hamburger Bahnhof - Tiergarten,200000,148000,14920,-,-,37080,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
Neue Nationalgalerie - Kulturforum,257000,192750,30543,-,-,33707,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
"Gemäldegalerie - Kulturforum (Zentralkasse)
mit Kunstbibliothek und Kupferstichkabinett",295000,203550,22237,-,-,69213,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
Kunstgewerbemuseum - Kulturforum,10000,6800,2385,-,-,815,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
Kunstgewerbemuseum - Schloss Köpenick,16000,12640,1848,-,-,1512,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
"Ethnologisches Museum - Museen Dahlem (Zentralkasse)
mit Museum Europäischer Kulturen und Museum für Asiatische Kunst",112000,59360,26848,-,-,25792,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
Museum für Fotografie - Charlottenburg,112000,95200,5492,-,-,11308,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
"Museum Berggruen -
Charlottenburg",78000,60840,9521,-,-,7639,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
"Sammlung Scharf-Gerstenberg -
Charlottenburg",75000,63000,3465,-,-,8535,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
Musikinstrumenten-Museum,48000,15046,23384,-,-,9570,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
Staatsbibliothek,920000,-,-,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
Humboldt-Box,120000,-,-,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2014
"Schloss Charlottenburg
(Neuer Pavillon;
Belvedere; Mausoleum)",338396,-,-,-,-,-,-,Preußische Schlösser & Gärten,2014
Pfaueninsel,161532,-,-,-,-,-,-,Preußische Schlösser & Gärten,2014
"Park Glienicke
(Schloss; Casino)",6006,-,-,-,-,-,-,Preußische Schlösser & Gärten,2014
"Jagdschloss Grunewald
(Schloss; Jagdzeugmagazin)",26678,-,-,-,-,-,-,Preußische Schlösser & Gärten,2014
"Schloss
 Schönhausen",14413,-,-,-,-,-,-,Preußische Schlösser & Gärten,2014
Stiftung Berliner Mauer,1050.000,,,553875,496125,-,-,Gedenkstätten,2014
Trägerverein Haus der Wannseekonferenz,114823,,,60856,53967,-,-,Gedenkstätten,2014
Stiftung Gedenkstätte Berlin-Hohenschönhausen,436482,,,218241,218241,-,-,Gedenkstätten,2014
Gedenkstätte Deutscher Widerstand,222836,,,111418,111418,-,20000,Gedenkstätten,2014
Stiftung Topographie des Terrors,1362.229,,,681114,681115,-,-,Gedenkstätten,2014
Dokumentationszentrum NS-Zwangsarbeit Berlin-Schöneweide,8706,,,4353,4353,-,-,Gedenkstätten,2014
Kunst-Werke Berlin - Institute for Contemporary Art,106897,-,-,57724,49173,-,-,Bildende Kunst,2014
Künstlerhaus Bethanien (KHB),24308,,,12145,12163,-,-,Bildende Kunst,2014
Haus am Waldsee,29981,20219,9762,17988,11993,1754,-,Bildende Kunst,2014
Stiftung Zentral- und Landesbibliothek Berlin,1305.523,,,626651,678872,-,-,Archive/Bibliotheken ,2014
Landesarchiv Berlin,14354,,,6564,7790,-,-,Archive/Bibliotheken ,2014
Theater Thikwà,3812,3267,545,-,-,-,16,  Basisförderung,2014
Monster Truck,-,-,-,-,-,-,-,  Basisförderung,2014
SheShePop,3057,2748,-,-,-,-,-,  Basisförderung,2014
Zeitgenössische Oper Berlin,154,-,10000,-,-,-,-,  Basisförderung,2014
kaleidoskop,790,694,96,-,-,-,-,  Basisförderung,2014
Theater auf der Zitadelle,4200,4000,200,-,-,-,-,  Basisförderung,2014
Schlossplatztheater,6367,4718,1649,-,-,-,-,  Basisförderung,2014
Theater o.N.,-,-,-,-,-,-,-,  Basisförderung,2014
andcompany & Co,823,763,-,-,-,-,-,  Basisförderung,2014
Fliegendes Theater,-,-,-,-,-,-,-,  Basisförderung,2014
ATZE Musiktheater,71898,64922,6976,-,-,-,65,  Basisförderung,2014
Das Weite Theater,8638,7826,812,-,-,-,-,  Basisförderung,2014
Das Helmi,763,700,63,-,-,-,-,  Basisförderung,2014
Lubricat,400,320,-,-,-,-,-,  Basisförderung,2014
Gob Squad,1547,1287,-,-,-,-,-,  Basisförderung,2014
English Theatre Berlin,-,-,-,-,-,-,-,  Basisförderung,2014
aufBruch,4765,4602,163,-,-,-,-,  Basisförderung,2014
Showcase beat Le Mot,600,-,600,-,-,-,-,  Basisförderung,2014
Hans Wurst Nachfahren,23232,22232,1000,-,-,-,-,  Basisförderung,2014
Novoflot,2995,775,2220,-,-,-,-,  Basisförderung,2014
isabelle Schad,1235,996,-,-,-,-,-,  Basisförderung,2014
"Kroesinger, Hans-Werner",-,-,-,-,-,-,-,  Basisförderung,2014
make up productions/A. Baehr,300,270,30,-,-,-,-,  Basisförderung,2014
MS Schrittmacher/M. Stiefermann,445,372,-,-,-,-,-,  Basisförderung,2014
Martin Nachbar,482,434,-,-,-,-,-,  Basisförderung,2014
Laurent Chétouane,661,-,-,-,-,-,-,  Basisförderung,2014
WilhelmGroener,405,118,-,-,-,-,-,  Basisförderung,2014
Christoph Winkler,1044,877,-,-,-,-,-,  Basisförderung,2014
Christina Ciupke,335,277,-,-,-,-,-,  Basisförderung,2014
Tanzcompanie Rubato,453,410,-,-,-,-,-,  Basisförderung,2014
cie toula limnaios,3242,2964,278,1751,1491,-,-,  Basisförderung,2014
Tanztage Berlin,2220,1968,252,1221,999,,,  Basisförderung,2014
Ballhaus Ost,9073,7342,1731,-,-,-,-, Spielstättenförderung,2014
Theaterkapelle,-,-,-,-,-,-,-, Spielstättenförderung,2014
Heimathafen Neukölln,12669,11975,694,-,-,-,-, Spielstättenförderung,2014
Tanzfabrik Berlin e.V.,6416,4070,2346,-,-,-,-, Spielstättenförderung,2014
Dock 11,8400,6564,1877,-,-,-,-, Spielstättenförderung,2014
Laborgras,204,160,44,-,-,-,-, Spielstättenförderung,2014
ada Studio & Bühne,1047,880,167,-,-,-,-, Spielstättenförderung,2014
Brotfabrik,9883,8242,1635,-,-,-,-, Spielstättenförderung,2014
